c(g:g)(CV_n101_ac_des) X,c(g:g)(CV_n101_ac_des) Y,c(g:g)(CV_n102_ac_des) X,c(g:g)(CV_n102_ac_des) Y,c(g:g)(CV_n103_ac_des) X,c(g:g)(CV_n103_ac_des) Y,c(g:g)(CV_n104_ac_des) X,c(g:g)(CV_n104_ac_des) Y,c(g:g)(CV_n105_ac_des) X,c(g:g)(CV_n105_ac_des) Y,c(g:g)(CV_n106_ac_des) X,c(g:g)(CV_n106_ac_des) Y,c(g:g)(CV_n107_ac_des) X,c(g:g)(CV_n107_ac_des) Y,c(g:g)(CV_n108_ac_des) X,c(g:g)(CV_n108_ac_des) Y,c(g:g)(CV_n109_ac_des) X,c(g:g)(CV_n109_ac_des) Y,c(g:g)(CV_n110_ac_des) X,c(g:g)(CV_n110_ac_des) Y,c(g:g)(CV_n111_ac_des) X,c(g:g)(CV_n111_ac_des) Y,c(g:g)(CV_n112_ac_des) X,c(g:g)(CV_n112_ac_des) Y,c(g:g)(CV_n113_ac_des) X,c(g:g)(CV_n113_ac_des) Y,c(g:g)(CV_n114_ac_des) X,c(g:g)(CV_n114_ac_des) Y,c(g:g)(CV_n115_ac_des) X,c(g:g)(CV_n115_ac_des) Y,c(g:g)(CV_n116_ac_des) X,c(g:g)(CV_n116_ac_des) Y,c(g:g)(CV_n117_ac_des) X,c(g:g)(CV_n117_ac_des) Y,c(g:g)(CV_n118_ac_des) X,c(g:g)(CV_n118_ac_des) Y,c(g:g)(CV_n119_ac_des) X,c(g:g)(CV_n119_ac_des) Y,c(g:g)(CV_n120_ac_des) X,c(g:g)(CV_n120_ac_des) Y,c(g:g)(CV_n121_ac_des) X,c(g:g)(CV_n121_ac_des) Y,c(g:g)(CV_n122_ac_des) X,c(g:g)(CV_n122_ac_des) Y,c(g:g)(CV_n123_ac_des) X,c(g:g)(CV_n123_ac_des) Y,c(g:g)(CV_n124_ac_des) X,c(g:g)(CV_n124_ac_des) Y,c(g:g)(CV_n125_ac_des) X,c(g:g)(CV_n125_ac_des) Y,c(g:g)(CV_n126_ac_des) X,c(g:g)(CV_n126_ac_des) Y,c(g:g)(CV_n127_ac_des) X,c(g:g)(CV_n127_ac_des) Y
-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456968e-15,-1,6.7456974e-15,-1,6.7457009e-15
-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456968e-15,-0.86538462,6.7456971e-15
-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15,-0.73076923,6.7456968e-15
-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15,-0.59615385,6.7456968e-15
-0.46153846,6.7456969e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15,-0.46153846,6.7456968e-15
-0.32692308,6.7456981e-15,-0.32692308,6.7456976e-15,-0.32692308,6.7456973e-15,-0.32692308,6.7456972e-15,-0.32692308,6.7456971e-15,-0.32692308,6.7456971e-15,-0.32692308,6.7456971e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15,-0.32692308,6.745697e-15
-0.19230769,6.7457127e-15,-0.19230769,6.7457056e-15,-0.19230769,6.7457023e-15,-0.19230769,6.7457004e-15,-0.19230769,6.7456997e-15,-0.19230769,6.7456995e-15,-0.19230769,6.7456993e-15,-0.19230769,6.7456991e-15,-0.19230769,6.745699e-15,-0.19230769,6.7456989e-15,-0.19230769,6.7456989e-15,-0.19230769,6.7456988e-15,-0.19230769,6.7456988e-15,-0.19230769,6.7456987e-15,-0.19230769,6.7456987e-15,-0.19230769,6.7456987e-15,-0.19230769,6.7456986e-15,-0.19230769,6.7456986e-15,-0.19230769,6.7456986e-15,-0.19230769,6.7456986e-15,-0.19230769,6.7456986e-15,-0.19230769,6.7456985e-15,-0.19230769,6.7456985e-15,-0.19230769,6.7456985e-15,-0.19230769,6.7456985e-15,-0.19230769,6.7456985e-15,-0.19230769,6.7456985e-15
-0.057692308,6.7459032e-15,-0.057692308,6.745805e-15,-0.057692308,6.7457566e-15,-0.057692308,6.745729e-15,-0.057692308,6.7457218e-15,-0.057692308,6.7457189e-15,-0.057692308,6.7457174e-15,-0.057692308,6.7457158e-15,-0.057692308,6.7457144e-15,-0.057692308,6.7457135e-15,-0.057692308,6.745713e-15,-0.057692308,6.7457126e-15,-0.057692308,6.7457123e-15,-0.057692308,6.745712e-15,-0.057692308,6.7457117e-15,-0.057692308,6.7457115e-15,-0.057692308,6.7457112e-15,-0.057692308,6.745711e-15,-0.057692308,6.7457108e-15,-0.057692308,6.7457106e-15,-0.057692308,6.7457105e-15,-0.057692308,6.7457103e-15,-0.057692308,6.7457102e-15,-0.057692308,6.74571e-15,-0.057692308,6.7457099e-15,-0.057692308,6.7457098e-15,-0.057692308,6.7457096e-15
0.076923077,6.7486714e-15,0.076923077,6.7472421e-15,0.076923077,6.7464913e-15,0.076923077,6.74603e-15,0.076923077,6.7459267e-15,0.076923077,6.7458912e-15,0.076923077,6.7458755e-15,0.076923077,6.7458639e-15,0.076923077,6.7458521e-15,0.076923077,6.7458411e-15,0.076923077,6.7458354e-15,0.076923077,6.7458315e-15,0.076923077,6.7458286e-15,0.076923077,6.7458259e-15,0.076923077,6.7458234e-15,0.076923077,6.7458212e-15,0.076923077,6.7458191e-15,0.076923077,6.7458172e-15,0.076923077,6.7458155e-15,0.076923077,6.7458139e-15,0.076923077,6.7458124e-15,0.076923077,6.7458109e-15,0.076923077,6.7458096e-15,0.076923077,6.7458084e-15,0.076923077,6.7458072e-15,0.076923077,6.7458061e-15,0.076923077,6.745805e-15
0.21153846,6.7870206e-15,0.21153846,6.7678456e-15,0.21153846,6.756561e-15,0.21153846,6.7494915e-15,0.21153846,6.7478646e-15,0.21153846,6.7474183e-15,0.21153846,6.747219e-15,0.21153846,6.7471345e-15,0.21153846,6.7470481e-15,0.21153846,6.7469622e-15,0.21153846,6.7468757e-15,0.21153846,6.7468379e-15,0.21153846,6.7468068e-15,0.21153846,6.7467849e-15,0.21153846,6.746764e-15,0.21153846,6.7467447e-15,0.21153846,6.746727e-15,0.21153846,6.7467107e-15,0.21153846,6.7466955e-15,0.21153846,6.7466815e-15,0.21153846,6.7466684e-15,0.21153846,6.7466562e-15,0.21153846,6.7466447e-15,0.21153846,6.7466339e-15,0.21153846,6.7466238e-15,0.21153846,6.7466142e-15,0.21153846,6.7466051e-15
