c(g:s)(CV_n101_ac_des) X,c(g:s)(CV_n101_ac_des) Y,c(g:s)(CV_n102_ac_des) X,c(g:s)(CV_n102_ac_des) Y,c(g:s)(CV_n103_ac_des) X,c(g:s)(CV_n103_ac_des) Y,c(g:s)(CV_n104_ac_des) X,c(g:s)(CV_n104_ac_des) Y,c(g:s)(CV_n105_ac_des) X,c(g:s)(CV_n105_ac_des) Y,c(g:s)(CV_n106_ac_des) X,c(g:s)(CV_n106_ac_des) Y,c(g:s)(CV_n107_ac_des) X,c(g:s)(CV_n107_ac_des) Y,c(g:s)(CV_n108_ac_des) X,c(g:s)(CV_n108_ac_des) Y,c(g:s)(CV_n109_ac_des) X,c(g:s)(CV_n109_ac_des) Y,c(g:s)(CV_n110_ac_des) X,c(g:s)(CV_n110_ac_des) Y,c(g:s)(CV_n111_ac_des) X,c(g:s)(CV_n111_ac_des) Y,c(g:s)(CV_n112_ac_des) X,c(g:s)(CV_n112_ac_des) Y,c(g:s)(CV_n113_ac_des) X,c(g:s)(CV_n113_ac_des) Y,c(g:s)(CV_n114_ac_des) X,c(g:s)(CV_n114_ac_des) Y,c(g:s)(CV_n115_ac_des) X,c(g:s)(CV_n115_ac_des) Y,c(g:s)(CV_n116_ac_des) X,c(g:s)(CV_n116_ac_des) Y,c(g:s)(CV_n117_ac_des) X,c(g:s)(CV_n117_ac_des) Y,c(g:s)(CV_n118_ac_des) X,c(g:s)(CV_n118_ac_des) Y,c(g:s)(CV_n119_ac_des) X,c(g:s)(CV_n119_ac_des) Y,c(g:s)(CV_n120_ac_des) X,c(g:s)(CV_n120_ac_des) Y,c(g:s)(CV_n121_ac_des) X,c(g:s)(CV_n121_ac_des) Y,c(g:s)(CV_n122_ac_des) X,c(g:s)(CV_n122_ac_des) Y,c(g:s)(CV_n123_ac_des) X,c(g:s)(CV_n123_ac_des) Y,c(g:s)(CV_n124_ac_des) X,c(g:s)(CV_n124_ac_des) Y,c(g:s)(CV_n125_ac_des) X,c(g:s)(CV_n125_ac_des) Y,c(g:s)(CV_n126_ac_des) X,c(g:s)(CV_n126_ac_des) Y,c(g:s)(CV_n127_ac_des) X,c(g:s)(CV_n127_ac_des) Y
-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15,-1,-3.10E-15
-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15,-0.86538462,-3.10E-15
-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15,-0.73076923,-3.10E-15
-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15,-0.59615385,-3.10E-15
-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15,-0.46153846,-3.10E-15
-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15,-0.32692308,-3.10E-15
-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15,-0.19230769,-3.10E-15
-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15,-0.057692308,-3.10E-15
0.076923077,-3.11E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15,0.076923077,-3.10E-15
0.21153846,-3.14E-15,0.21153846,-3.12E-15,0.21153846,-3.11E-15,0.21153846,-3.11E-15,0.21153846,-3.11E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15,0.21153846,-3.10E-15
