drain TotalCurrent(IdVgbg_n22_des) X,drain TotalCurrent(IdVgbg_n22_des) Y,drain TotalCurrent(IdVgbg_n25_des) X,drain TotalCurrent(IdVgbg_n25_des) Y,drain TotalCurrent(IdVgbg_n28_des) X,drain TotalCurrent(IdVgbg_n28_des) Y,drain TotalCurrent(IdVgbg_n31_des) X,drain TotalCurrent(IdVgbg_n31_des) Y,drain TotalCurrent(IdVgbg_n34_des) X,drain TotalCurrent(IdVgbg_n34_des) Y,drain TotalCurrent(IdVgbg_n37_des) X,drain TotalCurrent(IdVgbg_n37_des) Y,drain TotalCurrent(IdVgbg_n40_des) X,drain TotalCurrent(IdVgbg_n40_des) Y,drain TotalCurrent(IdVgbg_n43_des) X,drain TotalCurrent(IdVgbg_n43_des) Y,drain TotalCurrent(IdVgbg_n46_des) X,drain TotalCurrent(IdVgbg_n46_des) Y,drain TotalCurrent(IdVgbg_n49_des) X,drain TotalCurrent(IdVgbg_n49_des) Y,drain TotalCurrent(IdVgbg_n52_des) X,drain TotalCurrent(IdVgbg_n52_des) Y,drain TotalCurrent(IdVgbg_n55_des) X,drain TotalCurrent(IdVgbg_n55_des) Y,drain TotalCurrent(IdVgbg_n58_des) X,drain TotalCurrent(IdVgbg_n58_des) Y,drain TotalCurrent(IdVgbg_n61_des) X,drain TotalCurrent(IdVgbg_n61_des) Y,drain TotalCurrent(IdVgbg_n64_des) X,drain TotalCurrent(IdVgbg_n64_des) Y,drain TotalCurrent(IdVgbg_n67_des) X,drain TotalCurrent(IdVgbg_n67_des) Y,drain TotalCurrent(IdVgbg_n70_des) X,drain TotalCurrent(IdVgbg_n70_des) Y,drain TotalCurrent(IdVgbg_n73_des) X,drain TotalCurrent(IdVgbg_n73_des) Y,drain TotalCurrent(IdVgbg_n76_des) X,drain TotalCurrent(IdVgbg_n76_des) Y,drain TotalCurrent(IdVgbg_n79_des) X,drain TotalCurrent(IdVgbg_n79_des) Y,drain TotalCurrent(IdVgbg_n82_des) X,drain TotalCurrent(IdVgbg_n82_des) Y,drain TotalCurrent(IdVgbg_n85_des) X,drain TotalCurrent(IdVgbg_n85_des) Y,drain TotalCurrent(IdVgbg_n88_des) X,drain TotalCurrent(IdVgbg_n88_des) Y,drain TotalCurrent(IdVgbg_n91_des) X,drain TotalCurrent(IdVgbg_n91_des) Y,drain TotalCurrent(IdVgbg_n94_des) X,drain TotalCurrent(IdVgbg_n94_des) Y,drain TotalCurrent(IdVgbg_n97_des) X,drain TotalCurrent(IdVgbg_n97_des) Y,drain TotalCurrent(IdVgbg_n100_des) X,drain TotalCurrent(IdVgbg_n100_des) Y
-1,3.7257138e-17,-1,9.3521208e-17,-1,1.1509033e-16,-1,1.2756551e-16,-1,1.3301389e-16,-1,1.3686127e-16,-1,1.3991462e-16,-1,1.4247412e-16,-1,1.4469239e-16,-1,1.4665892e-16,-1,1.4843117e-16,-1,1.5004839e-16,-1,1.5153869e-16,-1,1.5292295e-16,-1,1.5421716e-16,-1,1.5543385e-16,-1,1.5658337e-16,-1,1.5767811e-16,-1,1.5877392e-16,-1,1.6046119e-16,-1,1.6986599e-16,-1,2.7563084e-16,-1,1.5986059e-15,-1,1.8084215e-14,-1,2.0615839e-13,-1,1.9700951e-12,-1,1.4414171e-11
-0.94166667,8.1920185e-17,-0.94166667,2.0980248e-16,-0.94166667,2.5130874e-16,-0.94166667,2.80217e-16,-0.94166667,2.9239966e-16,-0.94166667,3.008004e-16,-0.94166667,3.0740321e-16,-0.94166667,3.1290715e-16,-0.94166667,3.1765894e-16,-0.94166667,3.2185929e-16,-0.94166667,3.2563593e-16,-0.94166667,3.290756e-16,-0.94166667,3.3224017e-16,-0.94166667,3.3517541e-16,-0.94166667,3.3791622e-16,-0.94166667,3.4048987e-16,-0.94166667,3.4291822e-16,-0.94166667,3.4522012e-16,-0.94166667,3.4742429e-16,-0.94166667,3.4971103e-16,-0.94166667,3.5412969e-16,-0.94166667,3.859712e-16,-0.94166667,7.6481893e-16,-0.94166667,5.5401844e-15,-0.94166667,6.3035622e-14,-0.94166667,6.5953648e-13,-0.94166667,5.4950155e-12
-0.88333333,1.774301e-16,-0.88333333,4.8860327e-16,-0.88333333,5.5870875e-16,-0.88333333,6.2162085e-16,-0.88333333,6.4927106e-16,-0.88333333,6.6778929e-16,-0.88333333,6.8218758e-16,-0.88333333,6.9411767e-16,-0.88333333,7.0437568e-16,-0.88333333,7.1341583e-16,-0.88333333,7.2152456e-16,-0.88333333,7.288952e-16,-0.88333333,7.3566493e-16,-0.88333333,7.4193491e-16,-0.88333333,7.4778201e-16,-0.88333333,7.5326615e-16,-0.88333333,7.5843503e-16,-0.88333333,7.6332757e-16,-0.88333333,7.679796e-16,-0.88333333,7.7246598e-16,-0.88333333,7.7739406e-16,-0.88333333,7.9000764e-16,-0.88333333,9.0140938e-16,-0.88333333,2.2746336e-15,-0.88333333,1.9366138e-14,-0.88333333,2.1165047e-13,-0.88333333,1.9748629e-12
-0.825,3.9244353e-16,-0.825,1.1257225e-15,-0.825,1.2695946e-15,-0.825,1.4040044e-15,-0.825,1.4688911e-15,-0.825,1.5108129e-15,-0.825,1.5430216e-15,-0.825,1.5695447e-15,-0.825,1.5922587e-15,-0.825,1.6122171e-15,-0.825,1.6300781e-15,-0.825,1.6462829e-15,-0.825,1.6611432e-15,-0.825,1.6748879e-15,-0.825,1.6876904e-15,-0.825,1.6996855e-15,-0.825,1.7109802e-15,-0.825,1.7216612e-15,-0.825,1.7318005e-15,-0.825,1.7414711e-15,-0.825,1.7508908e-15,-0.825,1.7621707e-15,-0.825,1.8013389e-15,-0.825,2.2007664e-15,-0.825,7.1904797e-15,-0.825,6.6713437e-14,-0.825,6.7149906e-13
-0.76666667,8.8927268e-16,-0.76666667,2.5478818e-15,-0.76666667,2.9701182e-15,-0.76666667,3.2298542e-15,-0.76666667,3.3839982e-15,-0.76666667,3.4813324e-15,-0.76666667,3.5551076e-15,-0.76666667,3.6154679e-15,-0.76666667,3.6669486e-15,-0.76666667,3.7120518e-15,-0.76666667,3.7523246e-15,-0.76666667,3.788797e-15,-0.76666667,3.822193e-15,-0.76666667,3.8530421e-15,-0.76666667,3.8817444e-15,-0.76666667,3.9086101e-15,-0.76666667,3.9338847e-15,-0.76666667,3.9577666e-15,-0.76666667,3.9804183e-15,-0.76666667,4.0019785e-15,-0.76666667,4.0226088e-15,-0.76666667,4.0429989e-15,-0.76666667,4.0706615e-15,-0.76666667,4.2005145e-15,-0.76666667,5.6537626e-15,-0.76666667,2.3547721e-14,-0.76666667,2.213917e-13
-0.70833333,2.0239158e-15,-0.70833333,5.8126068e-15,-0.70833333,7.0786957e-15,-0.70833333,7.4741102e-15,-0.70833333,7.8376101e-15,-0.70833333,8.0634413e-15,-0.70833333,8.2318107e-15,-0.70833333,8.3685449e-15,-0.70833333,8.4846267e-15,-0.70833333,8.5859927e-15,-0.70833333,8.6762719e-15,-0.70833333,8.7578633e-15,-0.70833333,8.8324434e-15,-0.70833333,8.9012337e-15,-0.70833333,8.9651539e-15,-0.70833333,9.0249152e-15,-0.70833333,9.0810792e-15,-0.70833333,9.1340983e-15,-0.70833333,9.1843422e-15,-0.70833333,9.2321186e-15,-0.70833333,9.2776984e-15,-0.70833333,9.3214701e-15,-0.70833333,9.3657487e-15,-0.70833333,9.437783e-15,-0.70833333,9.8877894e-15,-0.70833333,1.5180174e-14,-0.70833333,7.7286761e-14
-0.65,4.6071562e-15,-0.65,1.3406465e-14,-0.65,1.6348814e-14,-0.65,1.7400392e-14,-0.65,1.8245532e-14,-0.65,1.8767966e-14,-0.65,1.9150398e-14,-0.65,1.9458331e-14,-0.65,1.97184e-14,-0.65,1.9944661e-14,-0.65,2.01456e-14,-0.65,2.0326782e-14,-0.65,2.0492073e-14,-0.65,2.0644278e-14,-0.65,2.07855e-14,-0.65,2.091736e-14,-0.65,2.1041139e-14,-0.65,2.1157861e-14,-0.65,2.1268365e-14,-0.65,2.1373344e-14,-0.65,2.1473383e-14,-0.65,2.1569022e-14,-0.65,2.1661291e-14,-0.65,2.1758303e-14,-0.65,2.1960479e-14,-0.65,2.3565471e-14,-0.65,4.2514086e-14
-0.59166667,1.0570942e-14,-0.59166667,3.1078337e-14,-0.59166667,3.8121796e-14,-0.59166667,4.0988899e-14,-0.59166667,4.2941256e-14,-0.59166667,4.4158003e-14,-0.59166667,4.503252e-14,-0.59166667,4.5729914e-14,-0.59166667,4.6315604e-14,-0.59166667,4.6823147e-14,-0.59166667,4.7272525e-14,-0.59166667,4.7676728e-14,-0.59166667,4.8044725e-14,-0.59166667,4.8382991e-14,-0.59166667,4.8696367e-14,-0.59166667,4.898857e-14,-0.59166667,4.9262525e-14,-0.59166667,4.9520574e-14,-0.59166667,4.9764625e-14,-0.59166667,4.9996255e-14,-0.59166667,5.0216782e-14,-0.59166667,5.0427333e-14,-0.59166667,5.0629034e-14,-0.59166667,5.0824925e-14,-0.59166667,5.1044343e-14,-0.59166667,5.1661497e-14,-0.59166667,5.743588e-14
-0.53333333,2.4658942e-14,-0.53333333,7.2938192e-14,-0.53333333,9.0632823e-14,-0.53333333,9.8070416e-14,-0.53333333,1.0253596e-13,-0.53333333,1.0540762e-13,-0.53333333,1.0743438e-13,-0.53333333,1.0903353e-13,-0.53333333,1.1036848e-13,-0.53333333,1.1152053e-13,-0.53333333,1.1253736e-13,-0.53333333,1.1344967e-13,-0.53333333,1.1427852e-13,-0.53333333,1.1503905e-13,-0.53333333,1.1574252e-13,-0.53333333,1.1639755e-13,-0.53333333,1.1701091e-13,-0.53333333,1.1758801e-13,-0.53333333,1.1813325e-13,-0.53333333,1.1865024e-13,-0.53333333,1.1914201e-13,-0.53333333,1.1961113e-13,-0.53333333,1.2005981e-13,-0.53333333,1.2049055e-13,-0.53333333,1.2091319e-13,-0.53333333,1.2143628e-13,-0.53333333,1.2345561e-13
-0.475,5.7885633e-14,-0.475,1.7278474e-13,-0.475,2.1587456e-13,-0.475,2.3757756e-13,-0.475,2.4638366e-13,-0.475,2.5313248e-13,-0.475,2.5780994e-13,-0.475,2.6145683e-13,-0.475,2.6448076e-13,-0.475,2.6707855e-13,-0.475,2.6936358e-13,-0.475,2.7140812e-13,-0.475,2.732614e-13,-0.475,2.749586e-13,-0.475,2.7652579e-13,-0.475,2.7798287e-13,-0.475,2.7934542e-13,-0.475,2.8062585e-13,-0.475,2.8183421e-13,-0.475,2.8297879e-13,-0.475,2.840665e-13,-0.475,2.8510314e-13,-0.475,2.8609369e-13,-0.475,2.8704257e-13,-0.475,2.8795581e-13,-0.475,2.8886732e-13,-0.475,2.9018384e-13
