c(g:d)(CV_n125_ac_des) X,c(g:d)(CV_n125_ac_des) Y,c(g:d)(CV_n126_ac_des) X,c(g:d)(CV_n126_ac_des) Y,c(g:d)(CV_n127_ac_des) X,c(g:d)(CV_n127_ac_des) Y,c(g:d)(CV_n128_ac_des) X,c(g:d)(CV_n128_ac_des) Y,c(g:d)(CV_n129_ac_des) X,c(g:d)(CV_n129_ac_des) Y,c(g:d)(CV_n130_ac_des) X,c(g:d)(CV_n130_ac_des) Y,c(g:d)(CV_n131_ac_des) X,c(g:d)(CV_n131_ac_des) Y,c(g:d)(CV_n132_ac_des) X,c(g:d)(CV_n132_ac_des) Y,c(g:d)(CV_n133_ac_des) X,c(g:d)(CV_n133_ac_des) Y,c(g:d)(CV_n134_ac_des) X,c(g:d)(CV_n134_ac_des) Y,c(g:d)(CV_n135_ac_des) X,c(g:d)(CV_n135_ac_des) Y,c(g:d)(CV_n136_ac_des) X,c(g:d)(CV_n136_ac_des) Y,c(g:d)(CV_n137_ac_des) X,c(g:d)(CV_n137_ac_des) Y,c(g:d)(CV_n138_ac_des) X,c(g:d)(CV_n138_ac_des) Y,c(g:d)(CV_n139_ac_des) X,c(g:d)(CV_n139_ac_des) Y,c(g:d)(CV_n140_ac_des) X,c(g:d)(CV_n140_ac_des) Y,c(g:d)(CV_n141_ac_des) X,c(g:d)(CV_n141_ac_des) Y,c(g:d)(CV_n142_ac_des) X,c(g:d)(CV_n142_ac_des) Y,c(g:d)(CV_n143_ac_des) X,c(g:d)(CV_n143_ac_des) Y,c(g:d)(CV_n144_ac_des) X,c(g:d)(CV_n144_ac_des) Y,c(g:d)(CV_n145_ac_des) X,c(g:d)(CV_n145_ac_des) Y,c(g:d)(CV_n146_ac_des) X,c(g:d)(CV_n146_ac_des) Y,c(g:d)(CV_n147_ac_des) X,c(g:d)(CV_n147_ac_des) Y,c(g:d)(CV_n148_ac_des) X,c(g:d)(CV_n148_ac_des) Y,c(g:d)(CV_n149_ac_des) X,c(g:d)(CV_n149_ac_des) Y,c(g:d)(CV_n150_ac_des) X,c(g:d)(CV_n150_ac_des) Y,c(g:d)(CV_n151_ac_des) X,c(g:d)(CV_n151_ac_des) Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.46E-15,-1,-5.50E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076923077,-5.59E-15,0.076923077,-5.53E-15,0.076923077,-5.49E-15,0.076923077,-5.46E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21153846,-6.16E-15,0.21153846,-6.10E-15,0.21153846,-5.99E-15,0.21153846,-5.76E-15,0.21153846,-5.56E-15,0.21153846,-5.48E-15,0.21153846,-5.46E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
