c(g:g)(CV_n125_ac_des) X,c(g:g)(CV_n125_ac_des) Y,c(g:g)(CV_n126_ac_des) X,c(g:g)(CV_n126_ac_des) Y,c(g:g)(CV_n127_ac_des) X,c(g:g)(CV_n127_ac_des) Y,c(g:g)(CV_n128_ac_des) X,c(g:g)(CV_n128_ac_des) Y,c(g:g)(CV_n129_ac_des) X,c(g:g)(CV_n129_ac_des) Y,c(g:g)(CV_n130_ac_des) X,c(g:g)(CV_n130_ac_des) Y,c(g:g)(CV_n131_ac_des) X,c(g:g)(CV_n131_ac_des) Y,c(g:g)(CV_n132_ac_des) X,c(g:g)(CV_n132_ac_des) Y,c(g:g)(CV_n133_ac_des) X,c(g:g)(CV_n133_ac_des) Y,c(g:g)(CV_n134_ac_des) X,c(g:g)(CV_n134_ac_des) Y,c(g:g)(CV_n135_ac_des) X,c(g:g)(CV_n135_ac_des) Y,c(g:g)(CV_n136_ac_des) X,c(g:g)(CV_n136_ac_des) Y,c(g:g)(CV_n137_ac_des) X,c(g:g)(CV_n137_ac_des) Y,c(g:g)(CV_n138_ac_des) X,c(g:g)(CV_n138_ac_des) Y,c(g:g)(CV_n139_ac_des) X,c(g:g)(CV_n139_ac_des) Y,c(g:g)(CV_n140_ac_des) X,c(g:g)(CV_n140_ac_des) Y,c(g:g)(CV_n141_ac_des) X,c(g:g)(CV_n141_ac_des) Y,c(g:g)(CV_n142_ac_des) X,c(g:g)(CV_n142_ac_des) Y,c(g:g)(CV_n143_ac_des) X,c(g:g)(CV_n143_ac_des) Y,c(g:g)(CV_n144_ac_des) X,c(g:g)(CV_n144_ac_des) Y,c(g:g)(CV_n145_ac_des) X,c(g:g)(CV_n145_ac_des) Y,c(g:g)(CV_n146_ac_des) X,c(g:g)(CV_n146_ac_des) Y,c(g:g)(CV_n147_ac_des) X,c(g:g)(CV_n147_ac_des) Y,c(g:g)(CV_n148_ac_des) X,c(g:g)(CV_n148_ac_des) Y,c(g:g)(CV_n149_ac_des) X,c(g:g)(CV_n149_ac_des) Y,c(g:g)(CV_n150_ac_des) X,c(g:g)(CV_n150_ac_des) Y,c(g:g)(CV_n151_ac_des) X,c(g:g)(CV_n151_ac_des) Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.09E-14,-1,1.10E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,-0.86538462,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,-0.73076923,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,-0.59615385,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,-0.46153846,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,-0.32692308,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,-0.19230769,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,-0.057692308,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076923077,1.12E-14,0.076923077,1.11E-14,0.076923077,1.10E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,0.076923077,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21153846,1.23E-14,0.21153846,1.22E-14,0.21153846,1.20E-14,0.21153846,1.15E-14,0.21153846,1.12E-14,0.21153846,1.10E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,0.21153846,1.09E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
