c(g:s)(CV_n125_ac_des) X,c(g:s)(CV_n125_ac_des) Y,c(g:s)(CV_n126_ac_des) X,c(g:s)(CV_n126_ac_des) Y,c(g:s)(CV_n127_ac_des) X,c(g:s)(CV_n127_ac_des) Y,c(g:s)(CV_n128_ac_des) X,c(g:s)(CV_n128_ac_des) Y,c(g:s)(CV_n129_ac_des) X,c(g:s)(CV_n129_ac_des) Y,c(g:s)(CV_n130_ac_des) X,c(g:s)(CV_n130_ac_des) Y,c(g:s)(CV_n131_ac_des) X,c(g:s)(CV_n131_ac_des) Y,c(g:s)(CV_n132_ac_des) X,c(g:s)(CV_n132_ac_des) Y,c(g:s)(CV_n133_ac_des) X,c(g:s)(CV_n133_ac_des) Y,c(g:s)(CV_n134_ac_des) X,c(g:s)(CV_n134_ac_des) Y,c(g:s)(CV_n135_ac_des) X,c(g:s)(CV_n135_ac_des) Y,c(g:s)(CV_n136_ac_des) X,c(g:s)(CV_n136_ac_des) Y,c(g:s)(CV_n137_ac_des) X,c(g:s)(CV_n137_ac_des) Y,c(g:s)(CV_n138_ac_des) X,c(g:s)(CV_n138_ac_des) Y,c(g:s)(CV_n139_ac_des) X,c(g:s)(CV_n139_ac_des) Y,c(g:s)(CV_n140_ac_des) X,c(g:s)(CV_n140_ac_des) Y,c(g:s)(CV_n141_ac_des) X,c(g:s)(CV_n141_ac_des) Y,c(g:s)(CV_n142_ac_des) X,c(g:s)(CV_n142_ac_des) Y,c(g:s)(CV_n143_ac_des) X,c(g:s)(CV_n143_ac_des) Y,c(g:s)(CV_n144_ac_des) X,c(g:s)(CV_n144_ac_des) Y,c(g:s)(CV_n145_ac_des) X,c(g:s)(CV_n145_ac_des) Y,c(g:s)(CV_n146_ac_des) X,c(g:s)(CV_n146_ac_des) Y,c(g:s)(CV_n147_ac_des) X,c(g:s)(CV_n147_ac_des) Y,c(g:s)(CV_n148_ac_des) X,c(g:s)(CV_n148_ac_des) Y,c(g:s)(CV_n149_ac_des) X,c(g:s)(CV_n149_ac_des) Y,c(g:s)(CV_n150_ac_des) X,c(g:s)(CV_n150_ac_des) Y,c(g:s)(CV_n151_ac_des) X,c(g:s)(CV_n151_ac_des) Y
-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503232e-15,-1,-5.4503235e-15,-1,-5.4503266e-15,-1,-5.4503611e-15,-1,-5.4506782e-15,-1,-5.4529638e-15,-1,-5.4652721e-15,-1,-5.5071254e-15
-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503232e-15,-0.86538462,-5.4503233e-15,-0.86538462,-5.4503248e-15,-0.86538462,-5.4503394e-15,-0.86538462,-5.4504563e-15,-0.86538462,-5.4511767e-15
-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503232e-15,-0.73076923,-5.4503233e-15,-0.73076923,-5.450324e-15,-0.73076923,-5.4503302e-15
-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503232e-15,-0.59615385,-5.4503233e-15
-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15,-0.46153846,-5.4503232e-15
-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15,-0.32692308,-5.4503233e-15
-0.19230769,-5.450333e-15,-0.19230769,-5.4503317e-15,-0.19230769,-5.4503309e-15,-0.19230769,-5.4503301e-15,-0.19230769,-5.4503298e-15,-0.19230769,-5.4503295e-15,-0.19230769,-5.4503292e-15,-0.19230769,-5.450329e-15,-0.19230769,-5.4503288e-15,-0.19230769,-5.4503286e-15,-0.19230769,-5.4503286e-15,-0.19230769,-5.4503285e-15,-0.19230769,-5.4503284e-15,-0.19230769,-5.4503284e-15,-0.19230769,-5.4503283e-15,-0.19230769,-5.4503283e-15,-0.19230769,-5.4503282e-15,-0.19230769,-5.4503282e-15,-0.19230769,-5.4503281e-15,-0.19230769,-5.4503281e-15,-0.19230769,-5.4503281e-15,-0.19230769,-5.450328e-15,-0.19230769,-5.450328e-15,-0.19230769,-5.450328e-15,-0.19230769,-5.4503279e-15,-0.19230769,-5.4503279e-15,-0.19230769,-5.4503279e-15
-0.057692308,-5.4517218e-15,-0.057692308,-5.4511827e-15,-0.057692308,-5.450866e-15,-0.057692308,-5.4506475e-15,-0.057692308,-5.450582e-15,-0.057692308,-5.4505566e-15,-0.057692308,-5.4505436e-15,-0.057692308,-5.4505308e-15,-0.057692308,-5.450518e-15,-0.057692308,-5.4505074e-15,-0.057692308,-5.4505005e-15,-0.057692308,-5.4504964e-15,-0.057692308,-5.4504928e-15,-0.057692308,-5.4504895e-15,-0.057692308,-5.4504865e-15,-0.057692308,-5.4504837e-15,-0.057692308,-5.4504812e-15,-0.057692308,-5.4504788e-15,-0.057692308,-5.4504767e-15,-0.057692308,-5.4504747e-15,-0.057692308,-5.4504728e-15,-0.057692308,-5.4504711e-15,-0.057692308,-5.4504694e-15,-0.057692308,-5.4504679e-15,-0.057692308,-5.4504664e-15,-0.057692308,-5.450465e-15,-0.057692308,-5.4504637e-15
0.076923077,-5.5974263e-15,0.076923077,-5.5403105e-15,0.076923077,-5.4962989e-15,0.076923077,-5.4630842e-15,0.076923077,-5.4562971e-15,0.076923077,-5.454653e-15,0.076923077,-5.4540083e-15,0.076923077,-5.4538039e-15,0.076923077,-5.4535739e-15,0.076923077,-5.4533648e-15,0.076923077,-5.4531475e-15,0.076923077,-5.4530371e-15,0.076923077,-5.4529514e-15,0.076923077,-5.4528916e-15,0.076923077,-5.452835e-15,0.076923077,-5.4527838e-15,0.076923077,-5.4527374e-15,0.076923077,-5.452695e-15,0.076923077,-5.4526561e-15,0.076923077,-5.4526202e-15,0.076923077,-5.452587e-15,0.076923077,-5.4525561e-15,0.076923077,-5.4525272e-15,0.076923077,-5.4525001e-15,0.076923077,-5.4524747e-15,0.076923077,-5.4524507e-15,0.076923077,-5.452428e-15
0.21153846,-6.1425814e-15,0.21153846,-6.0591995e-15,0.21153846,-5.9617187e-15,0.21153846,-5.7609529e-15,0.21153846,-5.5883613e-15,0.21153846,-5.5115791e-15,0.21153846,-5.4903999e-15,0.21153846,-5.4830756e-15,0.21153846,-5.4804971e-15,0.21153846,-5.4784687e-15,0.21153846,-5.4766258e-15,0.21153846,-5.4748302e-15,0.21153846,-5.4734915e-15,0.21153846,-5.4726058e-15,0.21153846,-5.4720595e-15,0.21153846,-5.4715649e-15,0.21153846,-5.4711178e-15,0.21153846,-5.4707116e-15,0.21153846,-5.4703415e-15,0.21153846,-5.4700022e-15,0.21153846,-5.4696895e-15,0.21153846,-5.4693999e-15,0.21153846,-5.4691306e-15,0.21153846,-5.4688793e-15,0.21153846,-5.468644e-15,0.21153846,-5.4684231e-15,0.21153846,-5.468215e-15
0.34615385,-6.4115449e-15,0.34615385,-6.3327957e-15,0.34615385,-6.2324928e-15,0.34615385,-6.0602583e-15,0.34615385,-5.9212686e-15,0.34615385,-5.7858719e-15,0.34615385,-5.6525679e-15,0.34615385,-5.5783417e-15,0.34615385,-5.5496007e-15,0.34615385,-5.5380092e-15,0.34615385,-5.533011e-15,0.34615385,-5.5279699e-15,0.34615385,-5.523313e-15,0.34615385,-5.5174233e-15,0.34615385,-5.5143452e-15,0.34615385,-5.512933e-15,0.34615385,-5.5116262e-15,0.34615385,-5.5104125e-15,0.34615385,-5.5093041e-15,0.34615385,-5.5082912e-15,0.34615385,-5.5073601e-15,0.34615385,-5.5064999e-15,0.34615385,-5.5057018e-15,0.34615385,-5.5049586e-15,0.34615385,-5.5042639e-15,0.34615385,-5.5036126e-15,0.34615385,-5.5030002e-15
0.48076923,-6.5924333e-15,0.48076923,-6.6224129e-15,0.48076923,-6.6434543e-15,0.48076923,-6.6982274e-15,0.48076923,-6.7640647e-15,0.48076923,-6.6103637e-15,0.48076923,-6.3197251e-15,0.48076923,-6.0967106e-15,0.48076923,-5.9054752e-15,0.48076923,-5.7844077e-15,0.48076923,-5.7295479e-15,0.48076923,-5.7048456e-15,0.48076923,-5.6906008e-15,0.48076923,-5.6786031e-15,0.48076923,-5.6681033e-15,0.48076923,-5.650043e-15,0.48076923,-5.6481301e-15,0.48076923,-5.637306e-15,0.48076923,-5.6342523e-15,0.48076923,-5.6314776e-15,0.48076923,-5.6289332e-15,0.48076923,-5.6265818e-15,0.48076923,-5.6243976e-15,0.48076923,-5.6223612e-15,0.48076923,-5.6204567e-15,0.48076923,-5.6186707e-15,0.48076923,-5.6169913e-15
