drain TotalCurrent(IdVgdg_n71_des) X,drain TotalCurrent(IdVgdg_n71_des) Y,drain TotalCurrent(IdVgdg_n72_des) X,drain TotalCurrent(IdVgdg_n72_des) Y,drain TotalCurrent(IdVgdg_n73_des) X,drain TotalCurrent(IdVgdg_n73_des) Y,drain TotalCurrent(IdVgdg_n74_des) X,drain TotalCurrent(IdVgdg_n74_des) Y,drain TotalCurrent(IdVgdg_n75_des) X,drain TotalCurrent(IdVgdg_n75_des) Y,drain TotalCurrent(IdVgdg_n76_des) X,drain TotalCurrent(IdVgdg_n76_des) Y,drain TotalCurrent(IdVgdg_n77_des) X,drain TotalCurrent(IdVgdg_n77_des) Y,drain TotalCurrent(IdVgdg_n78_des) X,drain TotalCurrent(IdVgdg_n78_des) Y,drain TotalCurrent(IdVgdg_n79_des) X,drain TotalCurrent(IdVgdg_n79_des) Y,drain TotalCurrent(IdVgdg_n80_des) X,drain TotalCurrent(IdVgdg_n80_des) Y,drain TotalCurrent(IdVgdg_n81_des) X,drain TotalCurrent(IdVgdg_n81_des) Y,drain TotalCurrent(IdVgdg_n82_des) X,drain TotalCurrent(IdVgdg_n82_des) Y,drain TotalCurrent(IdVgdg_n83_des) X,drain TotalCurrent(IdVgdg_n83_des) Y,drain TotalCurrent(IdVgdg_n84_des) X,drain TotalCurrent(IdVgdg_n84_des) Y,drain TotalCurrent(IdVgdg_n85_des) X,drain TotalCurrent(IdVgdg_n85_des) Y,drain TotalCurrent(IdVgdg_n86_des) X,drain TotalCurrent(IdVgdg_n86_des) Y,drain TotalCurrent(IdVgdg_n87_des) X,drain TotalCurrent(IdVgdg_n87_des) Y,drain TotalCurrent(IdVgdg_n88_des) X,drain TotalCurrent(IdVgdg_n88_des) Y,drain TotalCurrent(IdVgdg_n89_des) X,drain TotalCurrent(IdVgdg_n89_des) Y,drain TotalCurrent(IdVgdg_n90_des) X,drain TotalCurrent(IdVgdg_n90_des) Y,drain TotalCurrent(IdVgdg_n91_des) X,drain TotalCurrent(IdVgdg_n91_des) Y,drain TotalCurrent(IdVgdg_n92_des) X,drain TotalCurrent(IdVgdg_n92_des) Y,drain TotalCurrent(IdVgdg_n93_des) X,drain TotalCurrent(IdVgdg_n93_des) Y,drain TotalCurrent(IdVgdg_n94_des) X,drain TotalCurrent(IdVgdg_n94_des) Y,drain TotalCurrent(IdVgdg_n95_des) X,drain TotalCurrent(IdVgdg_n95_des) Y,drain TotalCurrent(IdVgdg_n96_des) X,drain TotalCurrent(IdVgdg_n96_des) Y,drain TotalCurrent(IdVgdg_n97_des) X,drain TotalCurrent(IdVgdg_n97_des) Y
-1,1.4569732e-25,-1,3.825944e-25,-1,4.3661425e-25,-1,4.481863e-25,-1,4.5266473e-25,-1,4.5304942e-25,-1,4.6526583e-25,-1,4.6635198e-25,-1,4.7087572e-25,-1,4.7382929e-25,-1,4.857428e-25,-1,5.1006313e-25,-1,8.0900264e-25,-1,4.3926025e-24,-1,4.7696453e-23,-1,5.8684351e-22,-1,7.4528641e-21,-1,9.6807806e-20,-1,1.2840187e-18,-1,1.7333822e-17,-1,2.3393994e-16,-1,3.0014249e-15,-1,3.4127745e-14,-1,3.2229885e-13,-1,2.434262e-12,-1,1.4624574e-11,-1,6.7834694e-11
-0.94166667,1.2991605e-24,-0.94166667,3.4965136e-24,-0.94166667,4.0385994e-24,-0.94166667,4.1831657e-24,-0.94166667,4.2451642e-24,-0.94166667,4.2928253e-24,-0.94166667,4.3565117e-24,-0.94166667,4.3912391e-24,-0.94166667,4.437547e-24,-0.94166667,4.488358e-24,-0.94166667,4.5267208e-24,-0.94166667,4.5860402e-24,-0.94166667,4.690918e-24,-0.94166667,5.5563323e-24,-0.94166667,1.5666717e-23,-0.94166667,1.3919452e-22,-0.94166667,1.6914136e-21,-0.94166667,2.1640983e-20,-0.94166667,2.8354782e-19,-0.94166667,3.7914413e-18,-0.94166667,5.1372896e-17,-0.94166667,6.8447072e-16,-0.94166667,8.4182755e-15,-0.94166667,8.898069e-14,-0.94166667,7.7344946e-13,-0.94166667,5.2706769e-12,-0.94166667,2.8608759e-11
-0.88333333,1.2165224e-23,-0.88333333,3.2662866e-23,-0.88333333,3.771972e-23,-0.88333333,3.9141925e-23,-0.88333333,3.9732309e-23,-0.88333333,4.0262538e-23,-0.88333333,4.0755086e-23,-0.88333333,4.1222746e-23,-0.88333333,4.1669676e-23,-0.88333333,4.210235e-23,-0.88333333,4.2498082e-23,-0.88333333,4.2872841e-23,-0.88333333,4.3256125e-23,-0.88333333,4.3830605e-23,-0.88333333,4.6512586e-23,-0.88333333,7.5370538e-23,-0.88333333,4.2924622e-22,-0.88333333,4.9156758e-21,-0.88333333,6.3091992e-20,-0.88333333,8.3345962e-19,-0.88333333,1.1224228e-17,-0.88333333,1.5187618e-16,-0.88333333,1.974958e-15,-0.88333333,2.3026613e-14,-0.88333333,2.2453721e-13,-0.88333333,1.7698374e-12,-0.88333333,1.102248e-11
-0.825,1.134059e-22,-0.825,3.0484468e-22,-0.825,3.5219432e-22,-0.825,3.6576992e-22,-0.825,3.7157292e-22,-0.825,3.7680369e-22,-0.825,3.8164076e-22,-0.825,3.8616444e-22,-0.825,3.9044569e-22,-0.825,3.9447579e-22,-0.825,3.9832483e-22,-0.825,4.0198358e-22,-0.825,4.0549432e-22,-0.825,4.08893e-22,-0.825,4.1269965e-22,-0.825,4.2244133e-22,-0.825,5.066382e-22,-0.825,1.5258748e-21,-0.825,1.4543807e-20,-0.825,1.8482166e-19,-0.825,2.4582863e-18,-0.825,3.326957e-17,-0.825,4.4608759e-16,-0.825,5.5875455e-15,-0.825,6.0906997e-14,-0.825,5.4792509e-13,-0.825,3.8847714e-12
-0.76666667,1.0561004e-21,-0.76666667,2.8406043e-21,-0.76666667,3.2840043e-21,-0.76666667,3.4140008e-21,-0.76666667,3.4709248e-21,-0.76666667,3.5217226e-21,-0.76666667,3.5686588e-21,-0.76666667,3.6124344e-21,-0.76666667,3.6534847e-21,-0.76666667,3.6922101e-21,-0.76666667,3.7289225e-21,-0.76666667,3.763851e-21,-0.76666667,3.7972023e-21,-0.76666667,3.829137e-21,-0.76666667,3.8599157e-21,-0.76666667,3.8909649e-21,-0.76666667,3.9382043e-21,-0.76666667,4.1976956e-21,-0.76666667,7.157218e-21,-0.76666667,4.5083344e-20,-0.76666667,5.4525587e-19,-0.76666667,7.2736387e-18,-0.76666667,9.8500842e-17,-0.76666667,1.2953767e-15,-0.76666667,1.5451408e-14,-0.76666667,1.5562255e-13,-0.76666667,1.2781871e-12
-0.70833333,9.8130612e-21,-0.70833333,2.6414446e-20,-0.70833333,3.0561725e-20,-0.70833333,3.1809854e-20,-0.70833333,3.2368562e-20,-0.70833333,3.2863974e-20,-0.70833333,3.3319068e-20,-0.70833333,3.3741215e-20,-0.70833333,3.41357e-20,-0.70833333,3.4506606e-20,-0.70833333,3.4857109e-20,-0.70833333,3.5189748e-20,-0.70833333,3.5506603e-20,-0.70833333,3.5809428e-20,-0.70833333,3.6099681e-20,-0.70833333,3.6378908e-20,-0.70833333,3.6651784e-20,-0.70833333,3.6964264e-20,-0.70833333,3.7880571e-20,-0.70833333,4.6619176e-20,-0.70833333,1.5761912e-19,-0.70833333,1.6319545e-18,-0.70833333,2.1579657e-17,-0.70833333,2.9024507e-16,-0.70833333,3.6954872e-15,-0.70833333,4.1457112e-14,-0.70833333,3.8530254e-13
-0.65,9.0926108e-20,-0.65,2.4498695e-19,-0.65,2.8372823e-19,-0.65,2.9574023e-19,-0.65,3.0123767e-19,-0.65,3.0607425e-19,-0.65,3.1048632e-19,-0.65,3.1455636e-19,-0.65,3.1834267e-19,-0.65,3.218891e-19,-0.65,3.2522964e-19,-0.65,3.2839125e-19,-0.65,3.313957e-19,-0.65,3.3426087e-19,-0.65,3.3700159e-19,-0.65,3.3963044e-19,-0.65,3.4215895e-19,-0.65,3.4460658e-19,-0.65,3.4710991e-19,-0.65,3.5130205e-19,-0.65,3.7820851e-19,-0.65,7.0523605e-19,-0.65,5.0654001e-18,-0.65,6.418783e-17,-0.65,8.4754137e-16,-0.65,1.0318538e-14,-0.65,1.073392e-13
-0.59166667,8.3938662e-19,-0.59166667,2.2644945e-18,-0.59166667,2.6258474e-18,-0.59166667,2.741819e-18,-0.59166667,2.7960581e-18,-0.59166667,2.8433129e-18,-0.59166667,2.8860672e-18,-0.59166667,2.9252557e-18,-0.59166667,2.9615246e-18,-0.59166667,2.9953514e-18,-0.59166667,3.0271006e-18,-0.59166667,3.0570571e-18,-0.59166667,3.0854488e-18,-0.59166667,3.112461e-18,-0.59166667,3.1382465e-18,-0.59166667,3.1629331e-18,-0.59166667,3.1866288e-18,-0.59166667,3.2094284e-18,-0.59166667,3.2314406e-18,-0.59166667,3.2531035e-18,-0.59166667,3.2791888e-18,-0.59166667,3.3711814e-18,-0.59166667,4.346772e-18,-0.59166667,1.7279445e-17,-0.59166667,1.9187167e-16,-0.59166667,2.4390721e-15,-0.59166667,2.8056594e-14
-0.53333333,7.7109937e-18,-0.53333333,2.0837391e-17,-0.53333333,2.4202312e-17,-0.53333333,2.5326901e-17,-0.53333333,2.5863706e-17,-0.53333333,2.6325568e-17,-0.53333333,2.6739341e-17,-0.53333333,2.7115772e-17,-0.53333333,2.7462102e-17,-0.53333333,2.7783555e-17,-0.53333333,2.8084049e-17,-0.53333333,2.8366608e-17,-0.53333333,2.8633616e-17,-0.53333333,2.8886996e-17,-0.53333333,2.9128318e-17,-0.53333333,2.9358887e-17,-0.53333333,2.9579796e-17,-0.53333333,2.9791975e-17,-0.53333333,2.9996227e-17,-0.53333333,3.0193324e-17,-0.53333333,3.0384926e-17,-0.53333333,3.0585259e-17,-0.53333333,3.0974979e-17,-0.53333333,3.3972155e-17,-0.53333333,7.2431337e-17,-0.53333333,5.8396168e-16,-0.53333333,6.8929981e-15
-0.475,7.0587296e-17,-0.475,1.908923e-16,-0.475,2.2219494e-16,-0.475,2.3319555e-16,-0.475,2.3854591e-16,-0.475,2.4307395e-16,-0.475,2.4708189e-16,-0.475,2.50696e-16,-0.475,2.539984e-16,-0.475,2.5704678e-16,-0.475,2.5988351e-16,-0.475,2.6254075e-16,-0.475,2.6504355e-16,-0.475,2.6741187e-16,-0.475,2.6966186e-16,-0.475,2.7180684e-16,-0.475,2.738579e-16,-0.475,2.7582437e-16,-0.475,2.777142e-16,-0.475,2.7953434e-16,-0.475,2.8129091e-16,-0.475,2.8299217e-16,-0.475,2.8468265e-16,-0.475,2.8689677e-16,-0.475,2.9680485e-16,-0.475,4.1159841e-16,-0.475,1.8908327e-15
