Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
-6.0,2.2740204e-11,2.2282079e-11,2.982607e-11,2.1648712e-11,2.3847735e-11,3.0977946e-11,2.0688097e-11,2.5381829e-11,3.2111702e-11
-5.9,2.2090418e-11,2.2407149e-11,2.9354408e-11,2.1055623e-11,2.3901525e-11,3.0230006e-11,2.023729e-11,2.5201109e-11,3.11035e-11
-5.8,2.1489192e-11,2.253228e-11,2.88746e-11,2.0516094e-11,2.3938976e-11,2.9495784e-11,1.9840216e-11,2.4992956e-11,3.0148398e-11
-5.7,2.0937635e-11,2.265403e-11,2.8390788e-11,2.0031215e-11,2.3957593e-11,2.8780912e-11,1.949746e-11,2.475829e-11,2.9250616e-11
-5.6,2.0437405e-11,2.2768934e-11,2.7907484e-11,1.9602209e-11,2.3954751e-11,2.809052e-11,1.920941e-11,2.4498643e-11,2.8412805e-11
-5.5,1.9989514e-11,2.2873422e-11,2.7428792e-11,1.9229921e-11,2.3928411e-11,2.7428972e-11,1.897622e-11,2.421597e-11,2.7637196e-11
-5.4,1.9595279e-11,2.2963709e-11,2.6958429e-11,1.8915312e-11,2.3876815e-11,2.6800067e-11,1.8797509e-11,2.3912917e-11,2.6924825e-11
-5.3,1.9255824e-11,2.3036285e-11,2.6500207e-11,1.8659121e-11,2.3798508e-11,2.620698e-11,1.8672442e-11,2.3592302e-11,2.6276302e-11
-5.2,1.8972136e-11,2.3087535e-11,2.6057323e-11,1.8461696e-11,2.3692761e-11,2.5652242e-11,1.859956e-11,2.3257797e-11,2.5691534e-11
-5.1,1.874516e-11,2.311432e-11,2.563276e-11,1.8323164e-11,2.3558962e-11,2.5137824e-11,1.8576578e-11,2.2912986e-11,2.5170303e-11
-5.0,1.8575476e-11,2.3113405e-11,2.522896e-11,1.824323e-11,2.3397437e-11,2.4665117e-11,1.8599886e-11,2.2562086e-11,2.4711849e-11
-4.9,1.8463439e-11,2.3082414e-11,2.4848484e-11,1.822089e-11,2.3208921e-11,2.4235067e-11,1.8665023e-11,2.2209243e-11,2.4315454e-11
-4.8,1.8408906e-11,2.3019345e-11,2.449305e-11,1.825437e-11,2.2994995e-11,2.3848415e-11,1.8765546e-11,2.1859185e-11,2.3980594e-11
-4.7,1.8411252e-11,2.292285e-11,2.4164656e-11,1.8340838e-11,2.2757638e-11,2.3505529e-11,1.8893519e-11,2.1516625e-11,2.370702e-11
-4.6,1.8469035e-11,2.2792447e-11,2.3864551e-11,1.847593e-11,2.2499648e-11,2.3206678e-11,1.9038828e-11,2.1186832e-11,2.3494899e-11
-4.5,1.857972e-11,2.2628524e-11,2.3594529e-11,1.8653837e-11,2.2224611e-11,2.2952265e-11,1.9189636e-11,2.08752e-11,2.3344935e-11
-4.4,1.8739644e-11,2.2432653e-11,2.335596e-11,1.8866445e-11,2.1936602e-11,2.2742901e-11,1.9331916e-11,2.0587851e-11,2.3258869e-11
-4.3,1.894337e-11,2.220739e-11,2.3150742e-11,1.910353e-11,2.1640632e-11,2.2579483e-11,1.9450249e-11,2.0331542e-11,2.3238907e-11
-4.2,1.9183611e-11,2.1956699e-11,2.2981011e-11,1.935222e-11,2.1342607e-11,2.2463559e-11,1.9528396e-11,2.0113904e-11,2.3288e-11
-4.1,1.9450976e-11,2.1685872e-11,2.2849325e-11,1.9597216e-11,2.1049103e-11,2.239736e-11,1.955045e-11,1.9943477e-11,2.3408948e-11
-4.0,1.9733761e-11,2.1401365e-11,2.2759138e-11,1.9820924e-11,2.0768071e-11,2.2384036e-11,1.9502297e-11,1.9829588e-11,2.360339e-11
-3.9,2.001789e-11,2.1111411e-11,2.2714502e-11,2.000418e-11,2.0508302e-11,2.242748e-11,1.9373435e-11,1.9782008e-11,2.3868954e-11
-3.8,2.0287301e-11,2.0825796e-11,2.2720388e-11,2.0127379e-11,2.0280175e-11,2.2532379e-11,1.9158815e-11,1.9809656e-11,2.4195347e-11
-3.7,2.0524702e-11,2.0555868e-11,2.2782288e-11,2.0172202e-11,2.0095096e-11,2.2703181e-11,1.8861019e-11,1.9917611e-11,2.4556598e-11
-3.6,2.0712371e-11,2.0314405e-11,2.2905943e-11,2.0123446e-11,1.9965692e-11,2.2943144e-11,1.8491273e-11,2.0102246e-11,2.4901142e-11
-3.5,2.0834166e-11,2.0115758e-11,2.3095496e-11,1.9971613e-11,1.9904975e-11,2.3251005e-11,1.807051e-11,2.0342483e-11,2.5139812e-11
-3.4,2.087694e-11,1.9974463e-11,2.3351755e-11,1.971505e-11,1.9924349e-11,2.3616508e-11,1.7628713e-11,2.0588123e-11,2.5140253e-11
-3.3,2.0833205e-11,1.9904233e-11,2.3666813e-11,1.936191e-11,2.0029983e-11,2.4012157e-11,1.7203192e-11,2.0749746e-11,2.4743995e-11
-3.2,2.0702459e-11,1.9914376e-11,2.4017325e-11,1.8930812e-11,2.0216459e-11,2.4381807e-11,1.683542e-11,2.070705e-11,2.383339e-11
-3.1,2.0493177e-11,2.000396e-11,2.4353394e-11,1.845055e-11,2.0455455e-11,2.4628691e-11,1.6565731e-11,2.036425e-11,2.2456606e-11
-3.0,2.022223e-11,2.0152366e-11,2.4586813e-11,1.7957495e-11,2.0683556e-11,2.4612203e-11,1.6426777e-11,1.9781357e-11,2.0964779e-11
-2.9,1.9913326e-11,2.0306867e-11,2.4585193e-11,1.7491168e-11,2.0796274e-11,2.4174263e-11,1.643695e-11,1.935154e-11,2.0072208e-11
-2.8,1.9591837e-11,2.0375387e-11,2.4192637e-11,1.708742e-11,2.0675971e-11,2.3224317e-11,1.6602294e-11,1.9963238e-11,2.0892442e-11
-2.7,1.9276554e-11,2.0244402e-11,2.3303397e-11,1.676919e-11,2.0290821e-11,2.1883245e-11,1.6947773e-11,2.3289893e-11,2.5339059e-11
-2.6,1.8968471e-11,1.9860223e-11,2.1998445e-11,1.653909e-11,1.9875842e-11,2.0620066e-11,1.7614472e-11,3.2935623e-11,3.7761586e-11
-2.5,1.8640815e-11,1.9391865e-11,2.0690278e-11,1.6383655e-11,2.0141926e-11,2.0309275e-11,1.9058864e-11,5.8295174e-11,6.985251e-11
-2.4,1.8245834e-11,1.943535e-11,2.0194894e-11,1.631544e-11,2.2535793e-11,2.236173e-11,2.240592e-11,1.2568577e-10,1.5411782e-10
-2.3,1.7769562e-11,2.1246e-11,2.1839225e-11,1.6488755e-11,3.008273e-11,2.953519e-11,3.0214675e-11,3.0630265e-10,3.768562e-10
-2.2,1.7364839e-11,2.7402303e-11,2.8151467e-11,1.7406911e-11,5.047024e-11,4.8809377e-11,4.855666e-11,7.7223533e-10,9.43467e-10
-2.1,1.7553155e-11,4.4300737e-11,4.54378e-11,2.0266285e-11,1.0566601e-10,9.99719e-11,9.246283e-11,1.8755988e-09,2.271505e-09
-2.0,1.9494592e-11,9.0205815e-11,9.17106e-11,2.778659e-11,2.5828595e-10,2.392568e-10,1.9801479e-10,4.215632e-09,5.07073e-09
-1.9,2.5676758e-11,2.1818469e-10,2.1928126e-10,4.6724145e-11,6.710392e-10,6.153654e-10,4.4288287e-10,8.667101e-09,1.0366443e-08
-1.8,4.226987e-11,5.708753e-10,5.7102323e-10,9.4809625e-11,1.7048217e-09,1.5721056e-09,9.684247e-10,1.641457e-08,1.9492152e-08
-1.7,8.6120826e-11,1.4783358e-09,1.4902848e-09,2.1652134e-10,4.021669e-09,3.7762993e-09,1.9848452e-09,2.9083834e-08,3.414826e-08
-1.6,2.0190727e-10,3.5717673e-09,3.669353e-09,5.0926574e-10,8.641673e-09,8.303861e-09,3.744837e-09,4.9024536e-08,5.6603636e-08
-1.5,4.933036e-10,7.852158e-09,8.259977e-09,1.1469351e-09,1.6973136e-08,1.6645387e-08,6.493189e-09,7.972896e-08,9.00457e-08
-1.4,1.154057e-09,1.570589e-08,1.687847e-08,2.3717175e-09,3.0917327e-08,3.0701678e-08,1.0414495e-08,1.2633686e-07,1.3903484e-07
-1.3,2.4576718e-09,2.8954888e-08,3.155743e-08,4.4392565e-09,5.3123536e-08,5.2891377e-08,1.5593534e-08,1.9613704e-07,2.1000972e-07
-1.2,4.6779993e-09,5.002788e-08,5.4782365e-08,7.5433695e-09,8.7375575e-08,8.64247e-08,2.1992406e-08,2.9892095e-07,3.1176876e-07
-1.1,7.979534e-09,8.223536e-08,8.9683695e-08,1.1760802e-08,1.3901621e-07,1.3569567e-07,2.9445564e-08,4.469324e-07,4.5582007e-07
-1.0,1.2350006e-08,1.3005375e-07,1.4033908e-07,1.7034052e-08,2.152837e-07,2.0670774e-07,3.767768e-08,6.541605e-07,6.5639443e-07
-0.9,1.7605249e-08,1.9928657e-07,2.1206847e-07,2.3183961e-08,3.2537733e-07,3.074283e-07,4.6341473e-08,9.347552e-07,9.299449e-07
-0.8,2.3443492e-08,2.969657e-07,3.1162193e-07,2.9942452e-08,4.8005353e-07,4.4795868e-07,5.5069545e-08,1.3006917e-06,1.2939344e-06
-0.7,2.9514476e-08,4.3085745e-07,4.4714395e-07,3.6996127e-08,6.905775e-07,6.403648e-07,6.352465e-08,1.7590758e-06,1.7648698e-06
-0.6,3.5482017e-08,6.0853364e-07,6.278403e-07,4.4032618e-08,9.670371e-07,8.980479e-07,7.143866e-08,2.3099124e-06,2.3558857e-06
-0.5,4.106907e-08,8.3606085e-07,8.632607e-07,5.078051e-08,1.3162735e-06,1.2345383e-06,7.863071e-08,2.9450414e-06,3.074182e-06
-0.4,4.6082807e-08,1.1166164e-06,1.1622589e-06,5.7036342e-08,1.7399898e-06,1.6618307e-06,8.5007585e-08,3.6486592e-06,3.919143e-06
-0.3,5.041928e-08,1.4493534e-06,1.5316774e-06,6.267328e-08,2.2335696e-06,2.188416e-06,9.055154e-08,4.399299e-06,4.8813986e-06
-0.2,5.405309e-08,1.8289478e-06,1.9750626e-06,6.7637686e-08,2.786113e-06,2.817503e-06,9.530035e-08,5.17273e-06,5.9433874e-06
-0.1,5.701875e-08,2.245954e-06,2.4916567e-06,7.1934295e-08,3.3816677e-06,3.5458027e-06,9.932703e-08,5.9448817e-06,7.081042e-06
0.0,5.9388668e-08,2.6879457e-06,3.075924e-06,7.560824e-08,4.0013074e-06,4.36325e-06,1.0272335e-07,6.6944817e-06,8.2663455e-06
0.1,6.125484e-08,3.1410275e-06,3.7177695e-06,7.872946e-08,4.625516e-06,5.2537453e-06,1.0558553e-07,7.404413e-06,9.470236e-06
0.2,6.271306e-08,3.591524e-06,4.403402e-06,8.137732e-08,5.2363475e-06,6.1967007e-06,1.0800656e-07,8.06252e-06,1.0665173e-05
0.3,6.385401e-08,4.0273167e-06,5.116685e-06,8.3631605e-08,5.8189025e-06,7.169223e-06,1.1006986e-07,8.661507e-06,1.1827076e-05
0.4,6.4757316e-08,4.438672e-06,5.8406654e-06,8.5566434e-08,6.3621183e-06,8.148264e-06,1.118479e-07,9.1982465e-06,1.2936687e-05
0.5,6.548892e-08,4.818659e-06,6.5590384e-06,8.724635e-08,6.858857e-06,9.112462e-06,1.1340151e-07,9.67293e-06,1.3979621e-05
0.6,6.610268e-08,5.1631296e-06,7.2573307e-06,8.872563e-08,7.3055944e-06,1.0043618e-05,1.1477993e-07,1.0088146e-05,1.4946847e-05
0.7,6.663916e-08,5.4703146e-06,7.923624e-06,9.0048275e-08,7.701676e-06,1.0927368e-05,1.16022136e-07,1.0448213e-05,1.583355e-05
