Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
-6.0,1.9004534e-11,2.522824e-11,3.0650316e-11,1.9945842e-11,2.4334416e-11,2.9558224e-11,1.8150485e-11,2.3860464e-11,2.8534917e-11
-5.9,1.868286e-11,2.4732967e-11,2.9770908e-11,1.9757697e-11,2.3937347e-11,2.8866739e-11,1.81463e-11,2.3555444e-11,2.8035796e-11
-5.8,1.8388504e-11,2.4278054e-11,2.895988e-11,1.9596656e-11,2.3577489e-11,2.8231821e-11,1.8165597e-11,2.3282324e-11,2.7578148e-11
-5.7,1.8121732e-11,2.3862873e-11,2.821385e-11,1.9462553e-11,2.3253966e-11,2.765043e-11,1.820801e-11,2.3039827e-11,2.7159086e-11
-5.6,1.7882886e-11,2.348644e-11,2.7529078e-11,1.9355535e-11,2.2965877e-11,2.7119633e-11,1.8272819e-11,2.2826607e-11,2.6775832e-11
-5.5,1.76722e-11,2.3147843e-11,2.6902309e-11,1.9275328e-11,2.2712257e-11,2.6636492e-11,1.8359212e-11,2.2641148e-11,2.6425476e-11
-5.4,1.7489824e-11,2.2846164e-11,2.6330308e-11,1.9221647e-11,2.2491892e-11,2.6197947e-11,1.8466034e-11,2.248172e-11,2.6105031e-11
-5.3,1.7335883e-11,2.2580375e-11,2.5809943e-11,1.9193978e-11,2.230352e-11,2.5801158e-11,1.8591842e-11,2.2346366e-11,2.581136e-11
-5.2,1.7210372e-11,2.2349409e-11,2.533789e-11,1.9191532e-11,2.2145692e-11,2.54431e-11,1.8734913e-11,2.2232764e-11,2.554123e-11
-5.1,1.7113255e-11,2.2151819e-11,2.491115e-11,1.9213544e-11,2.2016809e-11,2.5120662e-11,1.8893102e-11,2.2138494e-11,2.529114e-11
-5.0,1.7044324e-11,2.1986274e-11,2.4526527e-11,1.92587e-11,2.191484e-11,2.4830813e-11,1.906393e-11,2.2060607e-11,2.5057581e-11
-4.9,1.7003315e-11,2.1850929e-11,2.4180793e-11,1.9325676e-11,2.1837546e-11,2.4570082e-11,1.9244538e-11,2.1995933e-11,2.4836647e-11
-4.8,1.6989804e-11,2.1743855e-11,2.3870683e-11,1.9412572e-11,2.1782373e-11,2.4335058e-11,1.9431637e-11,2.1940744e-11,2.4624257e-11
-4.7,1.7003128e-11,2.1662788e-11,2.3592716e-11,1.9517379e-11,2.1746337e-11,2.412203e-11,1.9621544e-11,2.189108e-11,2.4416419e-11
-4.6,1.7042565e-11,2.1604973e-11,2.3343346e-11,1.9637623e-11,2.172591e-11,2.3927046e-11,1.9810176e-11,2.1842533e-11,2.420874e-11
-4.5,1.710698e-11,2.1567336e-11,2.3118736e-11,1.977037e-11,2.1717133e-11,2.3745941e-11,1.9993113e-11,2.1790507e-11,2.3997134e-11
-4.4,1.7195224e-11,2.1546319e-11,2.2914948e-11,1.9912407e-11,2.1715749e-11,2.3574538e-11,2.016578e-11,2.1730012e-11,2.3777456e-11
-4.3,1.730553e-11,2.1537756e-11,2.2727823e-11,2.006009e-11,2.1716703e-11,2.3408228e-11,2.032324e-11,2.1656272e-11,2.3545929e-11
-4.2,1.7436178e-11,2.1537189e-11,2.2552972e-11,2.0209223e-11,2.1714843e-11,2.3242634e-11,2.0460396e-11,2.1564589e-11,2.3299303e-11
-4.1,1.758483e-11,2.1539506e-11,2.2385952e-11,2.0355441e-11,2.1704784e-11,2.3073344e-11,2.0572532e-11,2.145072e-11,2.3035173e-11
-4.0,1.7748853e-11,2.1539317e-11,2.222222e-11,2.0494032e-11,2.1680728e-11,2.2896187e-11,2.0654643e-11,2.131123e-11,2.2752142e-11
-3.9,1.7925189e-11,2.1530899e-11,2.2057361e-11,2.061993e-11,2.1637542e-11,2.270757e-11,2.0702549e-11,2.1143793e-11,2.2450146e-11
-3.8,1.8110433e-11,2.1508689e-11,2.1887282e-11,2.0727978e-11,2.1570225e-11,2.250454e-11,2.0712234e-11,2.0947752e-11,2.2131057e-11
-3.7,1.8300847e-11,2.1467118e-11,2.1708359e-11,2.0812995e-11,2.1474851e-11,2.2285406e-11,2.0680785e-11,2.0724245e-11,2.1798308e-11
-3.6,1.8492166e-11,2.1401318e-11,2.1517853e-11,2.0869974e-11,2.1348841e-11,2.2049758e-11,2.060599e-11,2.0476848e-11,2.145788e-11
-3.5,1.868003e-11,2.130758e-11,2.131399e-11,2.0894323e-11,2.1191392e-11,2.1798978e-11,2.0486876e-11,2.021153e-11,2.1118133e-11
-3.4,1.885986e-11,2.1183435e-11,2.1096767e-11,2.0881847e-11,2.1004039e-11,2.1536668e-11,2.0323864e-11,1.9937128e-11,2.0789653e-11
-3.3,1.9027167e-11,2.1028776e-11,2.0867683e-11,2.0829272e-11,2.0790886e-11,2.126878e-11,2.0118851e-11,1.9665283e-11,2.0485752e-11
-3.2,1.917763e-11,2.0845698e-11,2.0630754e-11,2.0734487e-11,2.0559209e-11,2.1003855e-11,1.9875449e-11,1.9410355e-11,2.022223e-11
-3.1,1.9307396e-11,2.0639409e-11,2.0392441e-11,2.0596623e-11,2.0319224e-11,2.0753163e-11,1.9599022e-11,1.9189173e-11,2.001701e-11
-3.0,1.9413552e-11,2.0418207e-11,2.0161928e-11,2.0416816e-11,2.0084465e-11,2.0530968e-11,1.9296969e-11,1.9020984e-11,1.98899e-11
-2.9,1.9494505e-11,2.0193874e-11,1.9951448e-11,2.0197866e-11,1.9871434e-11,2.0353922e-11,1.8978387e-11,1.8926489e-11,1.9862011e-11
-2.8,1.9550278e-11,1.9981482e-11,1.9776188e-11,1.9945184e-11,1.9699254e-11,2.0241466e-11,1.8654574e-11,1.8926945e-11,1.9954385e-11
-2.7,1.9583278e-11,1.9799305e-11,1.9654448e-11,1.9666364e-11,1.9589127e-11,2.021477e-11,1.8338622e-11,1.9042214e-11,2.0185008e-11
-2.6,1.9598507e-11,1.9668177e-11,1.9607158e-11,1.9371947e-11,1.9563334e-11,2.0295767e-11,1.8045211e-11,1.9286463e-11,2.0563183e-11
-2.5,1.9604101e-11,1.9610646e-11,1.9657297e-11,1.9074731e-11,1.964323e-11,2.0504924e-11,1.7790137e-11,1.966062e-11,2.10794e-11
-2.4,1.9611033e-11,1.964927e-11,1.9828457e-11,1.8789751e-11,1.984514e-11,2.0856093e-11,1.7589232e-11,2.0139139e-11,2.1688252e-11
-2.3,1.9632837e-11,1.9802566e-11,2.0141219e-11,1.8533062e-11,2.017331e-11,2.1347294e-11,1.7456097e-11,2.0650516e-11,2.2286728e-11
-2.2,1.968317e-11,2.0078689e-11,2.0605672e-11,1.8319946e-11,2.0606215e-11,2.1943926e-11,1.739835e-11,2.1059876e-11,2.2702135e-11
